time,open,high,low,close,tick_volume,spread,real_volume
1615172400,1.19259,1.19289,1.19255,1.19262,1149,1,0
1615173300,1.19262,1.19269,1.19196,1.1921,1128,1,0
1615174200,1.19209,1.19262,1.19204,1.19249,844,1,0
1615175100,1.19249,1.19281,1.19245,1.19273,828,1,0
1615176000,1.19273,1.19285,1.19249,1.19266,631,1,0
1615176900,1.1926700000000001,1.19271,1.19136,1.19144,1028,1,0
1615177800,1.19144,1.1917,1.19065,1.19069,1194,1,0
1615178700,1.1907,1.1907,1.19007,1.19054,1078,1,0
1615179600,1.19055,1.19062,1.19005,1.19006,933,1,0
1615180500,1.19006,1.1905000000000001,1.19,1.19019,995,1,0
1615181400,1.19019,1.19028,1.18987,1.1899,966,1,0
1615182300,1.1899,1.1903299999999999,1.1899,1.19016,617,1,0
1615183200,1.19016,1.19027,1.18994,1.18994,683,1,0
1615184100,1.18994,1.19042,1.1899,1.19039,573,1,0
1615185000,1.19043,1.19045,1.19015,1.19031,598,1,0
1615185900,1.19031,1.19061,1.19014,1.19056,673,1,0
1615186800,1.19056,1.19089,1.19056,1.19081,864,1,0
1615187700,1.19082,1.19106,1.1907,1.19099,602,1,0
1615188600,1.19099,1.19107,1.1908,1.1909399999999999,757,1,0
1615189500,1.19092,1.19134,1.1909,1.19122,825,1,0
1615190400,1.1912099999999999,1.19146,1.19103,1.19107,648,1,0
1615191300,1.19108,1.19118,1.1905000000000001,1.19064,674,1,0
1615192200,1.19065,1.19067,1.19005,1.19011,555,1,0
1615193100,1.19011,1.19048,1.18888,1.18923,1024,1,0
1615194000,1.18929,1.18978,1.18904,1.18909,1463,1,0
1615194900,1.18909,1.18921,1.18825,1.18851,1472,1,0
1615195800,1.18851,1.18868,1.1880600000000001,1.1881599999999999,1075,1,0
1615196700,1.18818,1.1886700000000001,1.18786,1.1886,1265,1,0
1615197600,1.1886,1.18934,1.18853,1.1893,1748,1,0
1615198500,1.1892800000000001,1.18965,1.18907,1.18931,1468,1,0
1615199400,1.1893,1.18934,1.18813,1.18825,1508,1,0
1615200300,1.18826,1.18833,1.18753,1.18774,1366,1,0
1615201200,1.18775,1.18794,1.18715,1.18729,1503,1,0
1615202100,1.18726,1.1875499999999999,1.18662,1.18686,1354,1,0
1615203000,1.18687,1.1874,1.18654,1.18708,1260,1,0
1615203900,1.18708,1.18749,1.18705,1.1872,993,1,0
1615204800,1.18722,1.18758,1.1872,1.18746,808,1,0
1615205700,1.18746,1.1875,1.18667,1.18714,873,1,0
1615206600,1.18715,1.1880600000000001,1.187,1.18795,1134,1,0
1615207500,1.18792,1.18802,1.18741,1.18781,987,1,0
1615208400,1.18783,1.18804,1.1874,1.18775,883,1,0
1615209300,1.18776,1.188,1.18744,1.18781,879,1,0
1615210200,1.18781,1.18802,1.18753,1.18784,770,1,0
1615211100,1.18783,1.18791,1.18669,1.18677,951,1,0
1615212000,1.18677,1.1868400000000001,1.18586,1.18645,1256,1,0
1615212900,1.18645,1.18733,1.1863,1.18698,911,1,0
1615213800,1.18699,1.18704,1.1864,1.18654,939,1,0
1615214700,1.18653,1.18653,1.18591,1.18617,1340,1,0
1615215600,1.18618,1.18663,1.18566,1.18659,1552,1,0
1615216500,1.18659,1.18719,1.18628,1.18717,1608,1,0
1615217400,1.18717,1.18732,1.18644,1.18707,1514,1,0
1615218300,1.18707,1.18749,1.18655,1.18709,1467,1,0
1615219200,1.1871,1.18793,1.18705,1.18754,1538,1,0
1615220100,1.18753,1.18787,1.18715,1.18739,1288,1,0
1615221000,1.18737,1.18864,1.18711,1.18835,2311,1,0
1615221900,1.18834,1.18872,1.18723,1.1879,2859,1,0
1615222800,1.18792,1.18836,1.18766,1.18811,2878,1,0
1615223700,1.1881,1.1887,1.18762,1.18795,2228,1,0
1615224600,1.18796,1.18818,1.18672,1.18677,2005,1,0
1615225500,1.18677,1.18688,1.18575,1.18579,2246,1,0
1615226400,1.18579,1.18632,1.18553,1.18613,1533,1,0
1615227300,1.18613,1.18622,1.18567,1.1859,1459,1,0
1615228200,1.1859,1.18594,1.18534,1.1853799999999999,1158,1,0
1615229100,1.18536,1.18547,1.18457,1.18484,1475,1,0
1615230000,1.18484,1.18504,1.18464,1.18496,1315,1,0
1615230900,1.18496,1.18556,1.1849,1.18518,1187,1,0
1615231800,1.18518,1.186,1.18516,1.18596,1031,1,0
1615232700,1.18597,1.186,1.18558,1.18565,945,1,0
1615233600,1.18567,1.18638,1.18544,1.18636,967,1,0
1615234500,1.18636,1.18648,1.18596,1.18612,821,1,0
1615235400,1.18612,1.18626,1.18587,1.18598,917,1,0
1615236300,1.18598,1.18602,1.18526,1.18537,1095,1,0
1615237200,1.18537,1.18559,1.1852,1.18553,971,1,0
1615238100,1.18551,1.18573,1.18529,1.18561,919,1,0
1615239000,1.18561,1.1857199999999999,1.18544,1.18561,907,1,0
1615239900,1.18561,1.18587,1.18555,1.18581,769,1,0
1615240800,1.18581,1.18583,1.18515,1.1852800000000001,827,1,0
1615241700,1.18527,1.18534,1.18479,1.18496,907,1,0
1615242600,1.18496,1.18512,1.18487,1.18509,558,1,0
1615243500,1.18509,1.18517,1.18451,1.18453,631,1,0
1615244400,1.18453,1.18476,1.18451,1.18462,511,1,0
1615245300,1.18462,1.18473,1.18449,1.18452,225,1,0
1615246200,1.18452,1.18466,1.18442,1.18453,217,1,0
1615247100,1.18452,1.18465,1.18444,1.1846,387,1,0
1615248000,1.18456,1.18498,1.18451,1.18463,95,6,0
1615248900,1.18463,1.1850100000000001,1.18445,1.1846700000000001,91,16,0
1615249800,1.1846700000000001,1.1848,1.18458,1.1847,108,3,0
1615250700,1.1847,1.1848,1.1846,1.18476,82,5,0
1615251600,1.18476,1.18513,1.18462,1.18508,501,1,0
1615252500,1.18509,1.18515,1.18487,1.18506,397,1,0
1615253400,1.18508,1.18523,1.18502,1.18503,404,1,0
1615254300,1.18503,1.18527,1.185,1.18507,349,1,0
1615255200,1.18507,1.18522,1.18481,1.18505,866,1,0
1615256100,1.18504,1.18516,1.18438,1.18442,1072,1,0
1615257000,1.18443,1.18445,1.18357,1.18419,1378,1,0
1615257900,1.18419,1.18446,1.18402,1.18442,952,1,0
1615258800,1.18442,1.18492,1.18425,1.18457,936,1,0
1615259700,1.18458,1.18474,1.18384,1.18395,1193,1,0
1615260600,1.18396,1.1840600000000001,1.18356,1.18366,1666,1,0
1615261500,1.18365,1.18401,1.1836,1.18384,1289,1,0
1615262400,1.18384,1.18495,1.18381,1.18484,1149,1,0
1615263300,1.18487,1.18536,1.1847699999999999,1.18534,1056,1,0
1615264200,1.18534,1.18534,1.18462,1.18514,1121,1,0
1615265100,1.18514,1.18563,1.18502,1.18548,1030,1,0
1615266000,1.18549,1.18649,1.18536,1.18638,1053,1,0
1615266900,1.18638,1.18638,1.1857199999999999,1.18578,1020,1,0
1615267800,1.18578,1.18605,1.18576,1.18588,835,1,0
1615268700,1.18588,1.18672,1.18567,1.1865,958,1,0
1615269600,1.1865,1.18665,1.18579,1.18581,831,1,0
1615270500,1.18581,1.18587,1.18552,1.1858,379,1,0
1615271400,1.1858,1.18598,1.18558,1.1856,681,1,0
1615272300,1.1856,1.18584,1.18554,1.18574,544,1,0
1615273200,1.18575,1.18581,1.18558,1.1857199999999999,520,1,0
1615274100,1.1857199999999999,1.18595,1.18568,1.18575,541,1,0
1615275000,1.18574,1.18585,1.18546,1.18552,620,1,0
1615275900,1.18552,1.18575,1.18536,1.18539,675,1,0
1615276800,1.18541,1.18613,1.18531,1.18607,855,1,0
1615277700,1.18607,1.18627,1.18595,1.18601,649,1,0
